,Price,Address,City,Zip Code,# of Beds,# of Baths,sqft
0,"$564,900",7200 Neches Pine Dr,"Frisco, TX",75036,3 Beds,2.5 Baths,"2,997 Sq. Ft."
1,"$365,000",10045 Bell Rock Rd,"Frisco, TX",75035,3 Beds,2 Baths,"2,169 Sq. Ft."
2,"$405,000",11017 Aurora Ln,"Frisco, TX",75035,3 Beds,2.5 Baths,"2,166 Sq. Ft."
3,"$449,900",9991 Slick Rock Trl,"Frisco, TX",75033,4 Beds,2.5 Baths,"2,574 Sq. Ft."
4,"$515,000",8326 Sitka St,"Frisco, TX",75035,4 Beds,2.5 Baths,"2,962 Sq. Ft."
5,"$640,000",2079 Alcove Dr,"Frisco, TX",75034,4 Beds,2.5 Baths,"2,695 Sq. Ft."
6,"$389,900",2910 Reynolds Ln,"Frisco, TX",75033,3 Beds,2 Baths,"2,236 Sq. Ft."
7,"$475,000",13714 French Creek Ln,"Frisco, TX",75035,3 Beds,2.5 Baths,"2,373 Sq. Ft."
8,"$930,000",4520 Florence Dr,"Frisco, TX",75034,3 Beds,3.5 Baths,"4,228 Sq. Ft."
9,"$439,900",7601 Blossom Ln,"Frisco, TX",75034,3 Beds,2.5 Baths,"2,383 Sq. Ft."
10,"$295,000",9805 Concord Dr,"Frisco, TX",75035,3 Beds,2.5 Baths,"1,396 Sq. Ft."
11,"$900,000",6198 Rachel Dr,"Frisco, TX",75034,4 Beds,4 Baths,"4,967 Sq. Ft."
12,"$339,999",12018 Chattanooga Dr,"Frisco, TX",75035,3 Beds,2 Baths,"1,417 Sq. Ft."
13,"$520,000",12571 Peace River Dr,"Frisco, TX",75035,5 Beds,4 Baths,"3,691 Sq. Ft."
14,"$460,000",9569 Lance Dr,"Frisco, TX",75035,4 Beds,2.5 Baths,"3,069 Sq. Ft."
15,"$325,000",7297 Chinquapin Dr,"Frisco, TX",75033,4 Beds,2 Baths,"1,995 Sq. Ft."
16,"$500,000",7152 Maumee Valley Ct,"Frisco, TX",75036,3 Beds,2 Baths,"2,246 Sq. Ft."
17,"$325,000",13160 Guerin Dr,"Frisco, TX",75035,4 Beds,2 Baths,"2,073 Sq. Ft."
18,"$340,000",6848 Regello Dr,"Frisco, TX",75034,2 Beds,2.5 Baths,"1,818 Sq. Ft."
19,"$350,000",9758 Golden Fountain Dr,"Frisco, TX",75033,4 Beds,2 Baths,"2,096 Sq. Ft."
20,"$325,400",11908 Clearpoint Ct,"Frisco, TX",75036,4 Beds,2 Baths,"1,852 Sq. Ft."
21,"$445,900",12004 Rushing Creek Dr,"Frisco, TX",75035,4 Beds,3.5 Baths,"2,860 Sq. Ft."
22,"$375,000",5904 Louisville Dr,"Frisco, TX",75035,4 Beds,2 Baths,"2,027 Sq. Ft."
23,"$675,000",1567 San Andres Dr,"Frisco, TX",75033,5 Beds,3.5 Baths,"4,668 Sq. Ft."
24,"$437,500",2649 Marshall Dr,"Frisco, TX",75033,4 Beds,3.5 Baths,"2,927 Sq. Ft."
25,"$475,000",11708 Blackhawk Dr,"Frisco, TX",75033,4 Beds,2.5 Baths,"2,860 Sq. Ft."
26,"$679,545",1545 Morris Ln,"Frisco, TX",75034,4 Beds,3 Baths,"3,623 Sq. Ft."
27,"$499,900",12923 Yale Ct,"Frisco, TX",75035,3 Beds,3 Baths,"1,882 Sq. Ft."
28,"$774,900",16372 Lorna Doone Ln,"Frisco, TX",75033,5 Beds,4.5 Baths,"4,147 Sq. Ft."
29,"$749,000",12858 Palo Duro Dr,"Frisco, TX",75033,5 Beds,5.5 Baths,"4,710 Sq. Ft."
30,"$369,000",2450 Thorntree Dr,"Frisco, TX",75033,4 Beds,3 Baths,"2,207 Sq. Ft."
31,"$425,000",7927 Canal St,"Frisco, TX",75034,2 Beds,2.5 Baths,"1,706 Sq. Ft."
32,"$1,150,000",15246 Crystal Beach Ln,"Frisco, TX",75035,6 Beds,5 Baths,"4,813 Sq. Ft."
33,"$1,152,990",2481 Haft River Rd,"Frisco, TX",75034,5 Beds,4 Baths,"4,002 Sq. Ft."
34,"$540,000",8260 Fairview Dr,"Frisco, TX",75033,3 Beds,3.5 Baths,"2,128 Sq. Ft."
35,"$1,200,000",6006 Connely Dr,"Frisco, TX",75034,5 Beds,4.5 Baths,"5,253 Sq. Ft."
36,"$925,000",5111 Stillwater Trl,"Frisco, TX",75034,4 Beds,4.5 Baths,"4,061 Sq. Ft."
37,"$625,000",1403 Crockett Dr,"Frisco, TX",75033,4 Beds,3.5 Baths,"3,757 Sq. Ft."
38,"$329,000",12144 Cardinal Creek Dr,"Frisco, TX",75033,3 Beds,2 Baths,"1,805 Sq. Ft."
39,"$430,000",949 Imperial Valley Ln,"Frisco, TX",75036,2 Beds,2 Baths,"1,786 Sq. Ft."
40,"$350,000",2260 Lariat Trl,"Frisco, TX",75036,3 Beds,2 Baths,"1,841 Sq. Ft."
